Date,Product,Category,Sales,Profit
2026-01-15,4K TV,Electronics,182000,38220
2026-01-15,Running Shoes,Apparel,96500,24125
2026-01-15,Coffee Maker,Home,87400,20976
2026-01-15,Skin Serum,Beauty,74100,24453
2026-01-15,Organic Snacks,Grocery,116200,13944
2026-02-15,4K TV,Electronics,188500,41470
2026-02-15,Urban Jacket,Apparel,85100,15318
2026-02-15,Air Purifier,Home,119400,22189
2026-02-15,Fragrance Set,Beauty,70200,21060
2026-02-15,Protein Pack,Grocery,103100,13919
2026-03-15,Wireless Earbuds,Electronics,121400,21488
2026-03-15,Running Shoes,Apparel,101900,26494
2026-03-15,Coffee Maker,Home,91500,22875
2026-03-15,Skin Serum,Beauty,78500,26690
2026-03-15,Organic Snacks,Grocery,118900,14981
2026-04-15,4K TV,Electronics,194800,40908
2026-04-15,Urban Jacket,Apparel,83200,9568
2026-04-15,Air Purifier,Home,126800,22824
2026-04-15,Fragrance Set,Beauty,71800,21356
2026-04-15,Protein Pack,Grocery,104600,14121
2026-05-15,Wireless Earbuds,Electronics,126100,21437
2026-05-15,Running Shoes,Apparel,108200,28132
2026-05-15,Coffee Maker,Home,96300,24075
2026-05-15,Skin Serum,Beauty,79900,27965
2026-05-15,Organic Snacks,Grocery,120400,15050
2026-06-15,4K TV,Electronics,203900,43635
2026-06-15,Urban Jacket,Apparel,87800,15804
2026-06-15,Air Purifier,Home,130900,24117
2026-06-15,Fragrance Set,Beauty,73600,22080
2026-06-15,Protein Pack,Grocery,108400,14959
